"Time at risk","Analysis","Window","N celecoxib","N diclofenac","Events celecoxib","Events diclofenac","PY celecoxib","PY diclofenac","Rate celecoxib /1000PY","Rate diclofenac /1000PY","Hazard ratio (95% CI)","p","Status"
"Fixed 365-day window from index (intention to treat)","Primary","day 1 (cohort start) to day 365 (cohort start)",830,830,121,124,817.6,817.9,147.99,151.61,"0.95 (0.73-1.23)","0.69","ok"
"Short window: 1-90 days from index","Sensitivity","day 1 (cohort start) to day 90 (cohort start)",830,830,121,124,203.6,204,594.37,607.73,"0.95 (0.73-1.23)","0.69","ok"
"All available follow-up from index","Sensitivity","day 1 (cohort start) to day 99999 (cohort start)",830,830,121,124,17644,17953.9,6.86,6.91,"0.95 (0.73-1.23)","0.69","ok"
"On-treatment (DEGENERATE in Eunomia -- see note above)","Sensitivity","day 1 (cohort start) to day 0 (cohort end)",0,0,0,0,,,,,"not estimable","-","not estimable (no events / empty arm)"
